Iteration	Posterior	Likelihood	Prior	sigma
34500	4178.38	4730.376	-551.9959	0.06416348
34600	4246.71	4728.335	-481.6255	0.06528376
34700	4132.922	4727.193	-594.2711	0.0628048
34800	4057.297	4733.03	-675.7324	0.06260272
34900	4052.159	4714.348	-662.1887	0.06227208
35000	4046.721	4722.445	-675.7241	0.06094765
35100	4009.268	4721.038	-711.7704	0.06133013
35200	4033.896	4725.669	-691.7735	0.06227056
35300	4080.052	4719.802	-639.7504	0.06238613
35400	4213.199	4727.836	-514.6376	0.06539902
35500	4298.142	4728.582	-430.4406	0.06175954
35600	4341.088	4716.154	-375.0662	0.06210823
35700	4222.877	4719.945	-497.0681	0.06524336
35800	4226.736	4694.332	-467.5959	0.06343249
35900	4293.392	4714.255	-420.8635	0.05945975
36000	4310.924	4708.726	-397.8016	0.06013869
36100	4167.092	4690.148	-523.0559	0.06102275
36200	4294.083	4707.005	-412.9219	0.06350979
36300	4319.599	4701.946	-382.3466	0.05839434
36400	4567.887	4697.892	-130.0048	0.06135929
36500	4453.826	4727.405	-273.5782	0.06433155
36600	4517.419	4729.423	-212.0043	0.06275768
36700	4456.994	4717.909	-260.9144	0.05997119
36800	4341.12	4724.797	-383.6763	0.06236145
36900	4274.518	4719.027	-444.5086	0.0631738
37000	4303.875	4729.946	-426.0711	0.06223426
37100	4327.662	4713.92	-386.258	0.05910562
37200	4372.705	4704.393	-331.6874	0.05832227
37300	4333.258	4699.976	-366.7174	0.05969706
37400	4542.062	4701.391	-159.3294	0.05877988
37500	4508.648	4706.517	-197.8693	0.05838878
37600	4765.577	4716.363	49.21433	0.05760601
37700	4763.822	4685.956	77.86583	0.05656236
37800	4761.68	4719.374	42.30553	0.05941742
37900	4779.175	4718.611	60.56344	0.06019903
38000	4723.698	4711.51	12.18742	0.05894356
38100	4628.351	4708.945	-80.59366	0.059068
38200	4568.219	4709.247	-141.0274	0.05925675
38300	4493.82	4724.502	-230.6819	0.05907668
38400	4625.076	4726.936	-101.8596	0.06252884
38500	4743.097	4725.965	17.13135	0.06142258
38600	4785.326	4729.746	55.58019	0.06069004
38700	4864.385	4729.276	135.109	0.06134421
38800	4832.974	4746.336	86.63712	0.06723283
38900	4677.531	4740.242	-62.71138	0.06474274
